id,questions,answers
2254,5000,10000
2255,5000,10000
2256,5000,10000
2257,5000,10000
2258,5000,10000
2259,5000,10000
2260,5000,10000
2261,5000,10000
2262,5000,10000
2263,5000,10000
2264,5000,10000
2265,5000,10000
2266,5000,10000
2267,5000,10000
2268,5000,10000
2269,5000,10000
2270,5000,10000
2271,5000,10000
2272,5000,10000
2273,5000,10000
2274,5000,10000
2275,5000,10000
2276,5000,10000
2277,5000,10000
2278,5000,10000
2279,5000,10000
2280,5000,10000
2281,5000,10000
2282,5000,10000
2283,5000,10000
2284,5000,10000
2285,5000,10000
2286,5000,10000
2287,5000,10000
2288,5000,10000
2289,5000,10000
2290,5000,10000
2291,5000,10000
2292,5000,10000
2293,5000,10000
2294,5000,10000
2295,5000,10000
2296,5000,10000
2297,5000,10000
2298,5000,10000
2299,5000,10000
2300,5000,10000
2301,5000,10000
2302,5000,10000
2303,5000,10000
2304,5000,10000
2305,5000,10000
2306,5000,10000
2307,5000,10000
2308,5000,10000
2309,5000,10000
2310,5000,10000
2311,5000,10000
2312,5000,10000
2313,5000,10000
2314,5000,10000
2315,5000,10000
2316,5000,10000
2317,5000,10000
2318,5000,10000
2319,5000,10000
2320,5000,10000
2321,5000,10000
2322,5000,10000
2323,5000,10000
2324,5000,10000
2325,5000,10000
2326,5000,10000
2327,5000,10000
2328,5000,10000
2329,5000,10000
2330,5000,10000
2331,5000,10000
2332,5000,10000
2333,5000,10000
2334,5000,10000
2335,5000,10000
2336,5000,10000
2337,5000,10000
2338,5000,10000
2339,5000,10000
2340,5000,10000
2341,5000,10000
2342,5000,10000
2343,5000,10000
2344,5000,10000
2345,5000,10000
2346,5000,10000
2347,5000,10000
2348,5000,10000
2349,5000,10000
2350,5000,10000
2351,5000,10000
2352,5000,10000
2353,5000,10000
2354,5000,10000
2355,5000,10000
2356,5000,10000
2357,5000,10000
2358,5000,10000
2359,5000,10000
2360,5000,10000
2361,5000,10000
2362,5000,10000
2363,5000,10000
2364,5000,10000
2365,5000,10000
2366,5000,10000
2367,5000,10000
2368,5000,10000
2369,5000,10000
2370,5000,10000
2371,5000,10000
2372,5000,10000
2373,5000,10000
2374,5000,10000
2375,5000,10000
2376,5000,10000
2377,5000,10000
2378,5000,10000
2379,5000,10000
2380,5000,10000
2381,5000,10000
2382,5000,10000
2383,5000,10000
2384,5000,10000
2385,5000,10000
2386,5000,10000
2387,5000,10000
2388,5000,10000
2389,5000,10000
2390,5000,10000
2391,5000,10000
2392,5000,10000
2393,5000,10000
2394,5000,10000
2395,5000,10000
2396,5000,10000
2397,5000,10000
2398,5000,10000
2399,5000,10000
2400,5000,10000
2401,5000,10000
2402,5000,10000
2403,5000,10000
2404,5000,10000
2405,5000,10000
